cluster_id,size,years,year_min,year_max,label,summary,keywords
0,227,2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020,2009,2020,聖女の存在と役割,一人の少女が聖女としての運命を背負い、伝説の物語が展開する。彼女の成長と試練が描かれる。,彼女;下;伝説;聖女;為る;来る;物語;一人;少女;魔術;師;魔法;使い;才能;最強;使う;皇太子;妃;居る;王妃;二;王子;王女;戦国;乱世;王立;忍者;村人;達;敵;有る;死ぬ;主人;創造;神;剣;筈;世界;魔獣;精霊;さん;為;魔物;一;迷宮;女神;呼ぶ;魔王;打つ;領;マジック-magic;魔力;量;勇者;人物;集う;パーティー-party;メンバー-member;悪役;令嬢;前世;乙女;ゲーム-game;アナ-announcer;レディー-lady;ヒーロー-hero;中;選ぶ;彼;戦闘;討伐;倒す;軍;不死;成る;呆気ない;不老;覚める;見知る;不思議;少年;異;迷い込む;冒険;王
1,41,2009;2010;2012;2013;2014;2015;2016;2017;2018;2019;2020,2009,2020,婚約の解消とその影響,姉妹の関係性を通じて、役割や存在意義が探求され、特に姉と妹の対比が強調される。,仕舞う;妹;為る;姉;無い;巫女;有る;婚約;解消;突然;私-代名詞;日;新婚;生活;絶世;美女;子爵;家;成る;伯爵;養子;夫;愛する;結婚;再婚;浮気;恋愛;要素;嫉妬;どう;悟る;幼馴染み;男爵;彼女;知る;身代わり;ヒロイン-heroine;二;王子;兄弟;居る;婚姻;結ぶ;弟;双子;両親;姉妹;破棄;下さる;出来る;嫁ぐ;来る;縁;切る;一緒;暮らす;恋;友情;御;互い;因る;違い;身分;妻;王妃;歳;侯爵;夫人;ラブコメ-love;comedy;終わる;飼い殺す;元;男性;思い;離婚;者;後継;令嬢;後輩;何故;娘;娶る;彼;事;君-代名詞;アレクシア-alexia;天使;様;頃;
2,27,2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020,2009,2020,ゲームの世界とゲーマー,ゲームの舞台やキャラクターを通じて、魔法の冒険が描かれ、現実と虚構の境界が探求される。,ゲーム-game;ライフ-life;舞台;キャラクター-character;ライン-line;魔法;冒険;世界;有る;デス-death;為る;ゲーマー;内;小説;終わる;酷似;嵌まる;主人;本編;居る;似る;乙女;ゲー-game;私-代名詞;関係;魔物;死ぬ;得る;機;為;仮想;アナ-announcer;ヒロイン-heroine;リリー-lily;ライバル-rival;モブ;言う;人生;謳歌;中;公;悪役;前世;其れ;名前;転生;君;落とす;隠しキャラ;参加;運命;妹;自分;令嬢;シナリオ-scenario;未;攻略;少女;事;気付く;生まれ変わる;大好き;初心;無理;此れ;遣る;プレー-pl
3,15,2010;2011;2012;2014;2015;2016;2017;2018;2019,2010,2019,高校生活の独り暮らし,中学卒業後、高校生活を独り暮らしで送る主人公の物語。新たな環境での成長や葛藤が描かれる。,学校;生活;独り暮らし;為る;高校;中学;卒業;有る;物語;平凡;少女;学園;彼女;学生;少年;達;入学;授業;中;時代;クラス-class;毎;女子;生;美;男子;生徒;居る;記憶;得る;頼り;放課;後;教授;教師;女王;様;悪役;令嬢;まったり;教室;其処;クラスメート-classmate;ファンタジック;幼馴染み;貴族;学院;為;日;書籍;伯爵;王都;ディアナ;目指す;一;孤立;三;俺;人生;後悔;遣り直す
4,14,2010;2011;2013;2014;2017;2018;2019;2020,2010,2020,生きることの苦悩,命の重さと死への逃避を描き、生きることの辛さや足掻きをテーマにした作品。,生きる;足掻く;命;辛々;死ぬ;仕舞う;逃げ出す;ダーク-dark;人生;後悔;為る;無職;童貞;送る;今度;思う;不尽;世界;住む;魂;呆気ない;失意;生まれる;物語;人;反映;つ;旅立つ;悲劇;下さる;登場;自暴;自棄;転移;者;意図;為;スキル-skill;俺;放り込む;迷い込む;居る;歩む;歳;現われる;私-代名詞;苦しめる;彼;死;リハビリ-rehabilitation;迎える;事;独り暮らし;始める;普通;否応;巻き込む;人々;のんびり;ライフ-life;始まる;二;住人;遣り直す;此れ;病;倒れる;生;転生;超;貧乏;天涯;孤独;様;生活;幕;生命;旅;出る;全て;絶望
5,13,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020,2010,2020,幼馴染みとの恋愛,姉が家族のために世界で生きる姿を描き、両親や妹との関係を通じて、存在意義を問い直す物語。,世界;暮らす;為る;姉;何;無い;両親;妹;居る;初恋;養子;憧れ;有る;子;自分;結婚;28;歳;容姿;端麗;年下;幼馴染み;一生;幸せ;成る;恋人;彼氏;出来る;私-代名詞;此れ;恋;美;少年;令嬢;御;?;女の子;僕;親友;祖父;様;死;持つ;生まれる;寂しい;結末;迎える;継母;家族;侯爵;家;伯母;二;王子;ヒロイン-heroine;母;兄弟;伯爵;neo;書籍;幼い;ラブストーリー;因る;異母;義弟;ぽんこつ;少女;彼女;好く;過ぎる;俺;言う;デレ;中学;頃;学校;中;何処;今日
6,11,2009;2010;2011;2012;2014;2015;2016;2017;2018;2019,2009,2019,現代日本の幽霊観,2009年の日本における幽霊の存在とその文化的意義を探求し、現代社会における日本人の幽霊観を考察する。,日本;人;現代;有る;幽霊;世界;ファンタジー-fantasy;登場;人物;魔術;剣;元;転移;彼;侵略;中;コミック-comic;様;国;!;アニメ-animation;コミカライズ;版;為る;古代;戻る;神話;時代;文明;崩壊;因る;返る;ストーリー-story;ユキムラ;平成;歴史;本能;寺;戦国;帝国;言う;時;主義;生まれ変わり;者;前世
7,7,2011;2013;2015;2017;2018;2019;2020,2011,2020,才能とスキルの力,才能を持つ者がスキルを駆使し、苦難を乗り越える力を得る様子を描く。,才能;有る;貰う;スキル-skill;駆使;居る;力;苦難;乗り越える;御;!;唯一;趣味;奮闘;物語;偽善;無い;持つ;言う;外れる;進化;外れ;世界;無し;所持;為る;チート-cheat;レア-rare;最強;レベル-level;取得;存在;事;アイテム-item
8,7,2009;2010;2013;2015;2016;2019;2020,2009,2020,猫の存在と変化,猫が持つ多様な姿や役割を通じて、存在の変化や意味を探求するテーマ。,猫;為る;成る;姿;事件;中;出会う;使い魔;奉公;子猫;獣人;キャラ-character;最強;黒猫;仄々;何とぞ;宜しく;鳴く;様;物語
9,5,2013;2017;2018;2019;2020,2013,2020,パーティーの追放とリーダーシップ,パーティー内での追放やリーダーの役割に焦点を当て、元メンバーの影響を探る。,パーティー-party;追放;追い出す;リーダー-leader;元;者;最強;抜ける;魔族;有る;盗賊;一員;結成
